Sample time,Sample number,Sample type,Arsenic Dissolved [Lab: 1] [VMV: 107942],Status(0),Unit code(0),Value modifier code(0),Carbon Dissolved Organic [Lab: -54] [VMV: 1067],Status(1),Unit code(1),Value modifier code(1),Mercury Dissolved [Lab: -54] [VMV: 108152],Status(2),Unit code(2),Value modifier code(2),Nitrogen Total Dissolved [Lab: -54] [VMV: 107191],Status(3),Unit code(3),Value modifier code(3),Oxygen Dissolved [Lab: 80] [VMV: 1124],Status(4),Unit code(4),Value modifier code(4),Oxygen Dissolved [Lab: -54] [VMV: 1124],Status(5),Unit code(5),Value modifier code(5),pH [Lab: -54] [VMV: 1075],Status(6),Unit code(6),Value modifier code(6),pH [Lab: -54] [VMV: 1111],Status(7),Unit code(7),Value modifier code(7),Phosphorus Total Dissolved [Lab: -54] [VMV: 15102],Status(8),Unit code(8),Value modifier code(8),Phosphorus Total Dissolved [Lab: -54] [VMV: 108160],Status(9),Unit code(9),Value modifier code(9),Salinity [Lab: -54] [VMV: 108946],Status(10),Unit code(10),Value modifier code(10),Salinity [Lab: -54] [VMV: 1318],Status(11),Unit code(11),Value modifier code(11),Specific Conductance [Lab: -54] [VMV: 2041],Status(12),Unit code(12),Value modifier code(12),Specific Conductance [Lab: -54] [VMV: 1126],Status(13),Unit code(13),Value modifier code(13),Temperature Water [Lab: 80] [VMV: 1125],Status(14),Unit code(14),Value modifier code(14),Temperature Water [Lab: -54] [VMV: 1125],Status(15),Unit code(15),Value modifier code(15)
2008-08-27 21:50:00,08PY001319,1,,,,,8.20000000,U,MG/L,,,,,,0.28000000,U,MG/L,,9.90000000,U,MG/L,,,,,,8.40000000,U,PH UNITS,,,,,,0.08800000,U,MG/L,,,,,,0.17000000,U,RATIO,,,,,,250.00000000,U,USIE/CM,,,,,,16.00000000,U,DEG C,,,,,
2008-09-03 00:25:00,08PY001043,1,,,,,2.00000000,U,MG/L,,,,,,0.17000000,U,MG/L,,9.90000000,U,MG/L,,,,,,7.70000000,U,PH UNITS,,,,,,0.01700000,U,MG/L,,,,,,,,,,,,,,93.00000000,U,USIE/CM,,,,,,16.00000000,U,DEG C,,,,,
2008-09-17 22:15:00,08PY001061,1,,,,,2.90000000,U,MG/L,,,,,,0.20000000,U,MG/L,,,,,,,,,,8.00000000,U,PH UNITS,,,,,,0.02300000,U,MG/L,,,,,,,,,,,,,,110.00000000,U,USIE/CM,,,,,,,,,,,,,
2008-09-30 20:30:00,08PY001124,1,,,,,1.60000000,U,MG/L,,,,,,0.20000000,U,MG/L,,,,,,,,,,8.00000000,U,PH UNITS,,,,,,0.02000000,U,MG/L,,,,,,,,,,,,,,320.00000000,U,USIE/CM,,,,,,14.00000000,U,DEG C,,,,,
2008-10-15 19:24:00,08PY001200,1,,,,,4.70000000,U,MG/L,,,,,,0.16000000,U,MG/L,,,,,,,,,,7.80000000,U,PH UNITS,,,,,,0.01000000,U,MG/L,,,,,,,,,,,,,,150.00000000,U,USIE/CM,,,,,,11.00000000,U,DEG C,,,,,
2008-11-26 20:55:00,08PY001397,1,,,,,2.70000000,U,MG/L,,,,,,0.24000000,U,MG/L,,,,,,,,,,7.80000000,U,PH UNITS,,,,,,0.01600000,U,MG/L,,,,,,,,,,,,,,140.00000000,U,USIE/CM,,,,,,5.30000000,U,DEG C,,,,,
2008-12-04 16:13:00,09PY000042,1,,,,,2.50000000,U,MG/L,,,,,,0.29000000,U,MG/L,,,,,,,,,,7.90000000,U,PH UNITS,,,,,,0.01900000,U,MG/L,,,,,,,,,,,,,,110.00000000,U,USIE/CM,,,,,,5.90000000,U,DEG C,,,,,
2009-01-15 16:17:00,09PY000066,1,,,,,3.00000000,U,MG/L,,,,,,0.58000000,U,MG/L,,,,,,,,,,7.70000000,U,PH UNITS,,,,,,0.02700000,U,MG/L,,,,,,,,,,,,,,280.00000000,U,USIE/CM,,260.00000000,U,USIE/CM,,3.20000000,U,DEG C,,,,,
2009-02-05 05:20:00,09PY000114,1,,,,,2.40000000,U,MG/L,,,,,,0.47000000,U,MG/L,,,,,,,,,,7.90000000,U,PH UNITS,,,,,,0.02800000,U,MG/L,,,,,,,,,,,,,,370.00000000,U,USIE/CM,,,,,,2.20000000,U,DEG C,,,,,
2009-05-13 20:20:00,09PY000544,1,,,,,6.90000000,U,MG/L,,,,,,0.29000000,U,MG/L,,,,,,,,,,7.80000000,U,PH UNITS,,,,,,0.07000000,U,MG/L,,,,,,,,,,,,,,110.00000000,U,USIE/CM,,,,,,9.00000000,U,DEG C,,,,,
2009-06-04 19:03:00,09PY000637,1,,,,,3.70000000,U,MG/L,,,,,,0.19000000,U,MG/L,,,,,,,,,,7.60000000,U,PH UNITS,,,,,,0.02700000,U,MG/L,,,,,,,,,,,,,,94.00000000,U,USIE/CM,,,,,,14.00000000,U,DEG C,,,,,
2009-07-06 19:49:00,09PY000775,1,,,,,3.30000000,U,MG/L,,,,,,0.14000000,U,MG/L,,10.00000000,U,MG/L,,,,,,7.70000000,U,PH UNITS,,7.70000000,U,PH UNITS,,0.00900000,U,MG/L,,,,,,,,,,,,,,100.00000000,U,USIE/CM,,100.00000000,U,USIE/CM,,16.00000000,U,DEG C,,,,,
2009-07-22 19:35:00,09PY000760,1,,,,,3.30000000,U,MG/L,,,,,,0.09000000,U,MG/L,,,,,,,,,,7.80000000,U,PH UNITS,,,,,,0.00500000,U,MG/L,,,,,,,,,,,,,,100.00000000,U,USIE/CM,,100.00000000,U,USIE/CM,,19.00000000,U,DEG C,,,,,
2009-08-20 19:03:00,09PY000945,1,,,,,1.90000000,U,MG/L,,,,,,0.13000000,U,MG/L,,9.20000000,U,MG/L,,,,,,7.90000000,U,PH UNITS,,7.90000000,U,PH UNITS,,0.00800000,U,MG/L,,,,,,,,,,,,,,104.00000000,U,USIE/CM,,150.00000000,U,USIE/CM,,19.00000000,U,DEG C,,,,,
2009-09-10 20:50:00,09PY000987,1,,,,,2.70000000,U,MG/L,,,,,,0.12000000,U,MG/L,,,,,,,,,,7.70000000,U,PH UNITS,,8.00000000,U,PH UNITS,,0.00600000,U,MG/L,,,,,,,,,,,,,,110.00000000,U,USIE/CM,,110.00000000,U,USIE/CM,,19.00000000,U,DEG C,,,,,
2009-10-08 17:30:00,09PY001179,1,,,,,2.40000000,U,MG/L,,,,,,0.18000000,U,MG/L,,10.00000000,U,MG/L,,,,,,7.90000000,U,PH UNITS,,7.80000000,U,PH UNITS,,0.00400000,U,MG/L,,,,,,,,,,,,,,240.00000000,U,USIE/CM,,250.00000000,U,USIE/CM,,12.00000000,U,DEG C,,,,,
